index,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
31,ECTM.S1AG1210,2002.08,21.3,,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
32,ECTM.S1AG1210,2002.09,20.3,,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
33,ECTM.S1AG1210,2002.1,672.9,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
34,ECTM.S1AG1210,2002.11,670.5,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
35,ECTM.S1AG1210,2002.12,764.2,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
36,ECTM.S1AG1210,2003.01,669.5,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
37,ECTM.S1AG1210,2003.02,625.2,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
38,ECTM.S1AG1210,2003.03,677.0,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
39,ECTM.S1AG1210,2003.04,655.2,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
40,ECTM.S1AG1210,2003.05,684.3,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
41,ECTM.S1AG1210,2003.06,643.5,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
42,ECTM.S1AG1210,2003.07,681.8,,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores,,,
